obs_id,exchange_idx,student_text,teacher_text,student_on_task,student_on_task_num_agree,student_on_task_majority,student_on_task_zscore,teacher_on_task,teacher_on_task_num_agree,teacher_on_task_majority,teacher_on_task_zscore,uptake,uptake_num_agree,uptake_majority,uptake_zscore
12,299,"It says one quarter equals 25 percent, and then two quarters equals 50 percent, and all the quarts are over 50 percent.",Is that over 50 percent?,1.0,3,1,0.4953771608961752,1.0,3,1,0.4761322588694312,1.6666666666666667,2,2.0,0.4461636483201079
12,333,You’ve talked to me.,"Yes, I have, Student S.  Student S, you’ll do.  What was going on with this problem?  What did you do?  What were you thinking about?",0.3333333333333333,2,0,-1.1700591926091573,0.6666666666666666,2,1,-0.35523576477597435,2.0,1,,1.0585314354230402
15,234,See this one is the…,"That’s why I said you didn’t need to do another one, you could have just keep on building.",0.3333333333333333,2,0,-1.1755778177136529,0.3333333333333333,2,0,-1.2246596621203996,0.0,1,,-1.7594184629593836
16,119,"Ooh, I know; 8 times 36.","Yeah, I would do 8 times 36.  It’s gonna be much faster than doing that whole chart.  The chart is a good way to visualize and to remind yourself and, if you had that idea earlier, then you should have stuck with it.",1.0,3,1,0.5104118541774166,1.0,3,1,0.4854631414741146,2.0,3,2.0,0.9011184602552026
16,198,But it’s easier if you do it this way.,And this is 140 days or months?  Days.  Okay?  So go ahead and stick those labels in.,1.0,3,1,0.4781227429661111,1.0,3,1,0.4459890127691068,0.6666666666666666,2,1.0,-0.8759451299702641
19,11,Solve the questions on page 41.  Draw a representation of your solution on paper then you write the word problem [under it].,You’re gonna work with a partner to solve the word problems on showing your solution and then write the word problem underneath it.  Step three.,0.6666666666666666,2,1,-0.3807913782773369,0.6666666666666666,2,1,-0.4232283345558623,1.0,1,,-0.6827607582307106
19,148,It was on the floor.,It was on the floor.  [Make sure it goes in this.],0.0,3,0,-2.374865150441948,0.0,3,0,-2.5820964511169113,,1,,
20,13,I know that one-fourth is 25.  I know that two-fourth is 50. And I know that three-fourth is 75.,Okay.,1.0,3,1,0.4428166659110495,1.0,3,1,0.4321825211260539,0.6666666666666666,2,1.0,-0.6820249420918434
20,278,I didn’t get no sleep last night.,"Okay, I’m sorry.  So I’ll call mom and talk to her about that, but I still need you to work hard today.",0.0,3,0,-2.081526271594736,0.0,3,0,-2.0721306487320716,,1,,
20,549,Is two the bottom or the top?,"Oh, that’s a good question.  Your goal is to move 50 percent anywhere that you want.  So you could move 20 percent in one spot and thirty percent in another.",1.0,3,1,0.4271619090138149,1.0,3,1,0.3944647392374055,2.0,3,2.0,1.0605132160516524
21,3,"You know the thing that we did earlier in the unit, it was like this but it was a little longer, and we put in the equivalent fractions of different…",So I think it was page 10 where we did a percent fraction equivalent chart.  This looks a little bit similar to that. Keep that in the back of your mind when you’re filling this out.  What else does it look like? It looks like a bunch of these all on one game board.  Student T?,1.0,3,1,0.46317835837659904,1.0,3,1,0.4512899452534143,1.6666666666666667,2,2.0,0.6012886708173292
22,35,I think you’re supposed to wait until the next one.,"Wait until the next one?  All right.  Student T?  Don’t be camera-shy, guys.  Student L?  Come up.  Do it. I know how to do it.  It’s your turn to do it.  All right.  Who can explain why this is 2 times 20?",1.0,3,1,0.4460120276871447,1.0,3,1,0.4312143288299123,1.6666666666666667,2,2.0,0.4610105434286491
22,310,With a remainder of 1.,You’re right.  You’d have to have a remainder.,1.0,3,1,0.4477485359091097,1.0,3,1,0.4449363026663306,2.0,3,2.0,0.9857013742930514
23,355,I mean 4 and 4 equals 8.,Okay.  4 –,1.0,3,1,0.3815784786882322,1.0,3,1,0.34904732467526595,1.0,3,1.0,-0.4172837863720391
24,388,"Um, 6, or 6 times 0.","Well, you have 30 times 10, and then what’s your next one going to be?  30 times –?",1.0,3,1,0.4068905252399945,1.0,3,1,0.3899891301990361,1.0,3,1.0,-0.3901396944511941
25,71,"Miss G, I guess this [week] is going by fast.",Hmm?,0.3333333333333333,2,0,-1.4437184905302187,0.3333333333333333,2,0,-1.4952279046425574,0.0,1,,-1.8750337842675395
30,3,A remainder is the leftover.,"The leftover.  So again, the numbers Student D has left out of a division problem, and Student T thinks that he thinks it’s the leftovers.  Student A?",1.0,3,1,0.4812551527635187,1.0,3,1,0.48501201099009,2.0,3,2.0,0.972855887558606
36,77,I think it’s 65 out of 100.,"That’s true, but alright; I’m confusing you.  I showed this model because we’ve been doing this for everyday counts, right?  When we colored in one square, how much was that as a fraction?  One out of –",1.0,3,1,0.3898205259589488,1.0,3,1,0.375203183938548,1.0,3,1.0,-0.2448945779212155
36,258,I want to work with Student E.,Who’s sitting next to you?,0.0,3,0,-2.3526146871362186,0.0,3,0,-2.366643021794776,,1,,
36,270,One half equals two-sixths?,One half equals not two-sixths.,1.0,3,1,0.5028801792144225,1.0,3,1,0.5023259965837884,1.6666666666666667,2,2.0,0.4534462276480699
39,11,You look at the numerator and you can compare the numbers to get which one is larger.,"Oh, I love that.  Because these denominators are the same you’re saying I can look at the numerator to determine the larger fraction.",1.0,3,1,0.4087038977078328,1.0,3,1,0.3892760508353469,2.0,3,2.0,1.2218647130665838
39,304,For every one of those?,"For any fractions that I’m comparing that’s one portion away from one.  So I’m comparing here ninths and tenths.  This is one-tenth away from one.  This is one-ninth away from one.  What rule can I come up with that will fit this and this and this and any other fraction.  Let’s say I was doing 15/16th and let’s say I was doing 14/15ths.  Or let’s say 12/13ths and 13/14th.  Or let’s say I was doing… Understand what I’m saying?  I need a rule that’s going to fit every single comparison of fractions that I do that each one is only one portion away from being a full hole. So this is missing a 13th.  This is missing a 14th.  What rule can I apply to this, and this, and this that’s the same rule?  A rule I can come up with that will match every single one of these fractions that fit this rule?  Student M?",1.0,3,1,0.4451894972622539,1.0,3,1,0.428831521354048,1.6666666666666667,2,2.0,0.6054340763475828
40,363,"6 x the 8, which is…","Sit still.  You’re in a commercial.  Do you remember 6 x 8, Student Z?  Student J, do you remember?  6 x 8?  Student K?",1.0,3,1,0.47951153949367603,1.0,3,1,0.4579450289987058,1.3333333333333333,2,1.0,-0.2385505042395072
40,369,"Yeah, the 40 on top.","I like to call it a 40, right?  So the 8 stayed in the ones column and the 40 went over to the…",1.0,3,1,0.4582464883785387,1.0,3,1,0.4385361637131375,1.3333333333333333,2,1.0,0.19866004466812812
41,237,There’s a 32 right there.,You are very good statisticians at this point.  Student J?,1.0,3,1,0.4897328794064084,1.0,3,1,0.4779895391357079,0.3333333333333333,2,0.0,-1.6244754101928365
44,47,Sing?  Oh.  You’re gonna sing tonight?,No.,0.0,3,0,-2.100251649747144,0.0,3,0,-2.1882743545227323,,1,,
50,24,Because you’re not supposed to be adding the denominators –,Exactly.  This is a very common mistake because most people think if I’m adding one plus one I must be able to add two plus –,1.0,3,1,0.4558535820226556,1.0,3,1,0.4509916644653573,2.0,3,2.0,0.8562297976784085
50,212,I thought you said the numerator.  Twenty.,Twenty.  Okay.  Number five?  Student what’s the hour?,1.0,3,1,0.4905355995898442,1.0,3,1,0.4780102924181454,1.0,3,1.0,-0.45690453978925505
54,213,I could write in here.,"Okay.  Now, boys and girls, this circle – everybody with me?",0.3333333333333333,2,0,-1.1624633191567837,0.6666666666666666,2,1,-0.34804977978127066,1.0,1,,-0.1604625936776582
58,413,I agree with Student A.,"All right, 48.  Okay.  Anyone different?  Different?",1.0,3,1,0.4724588052029246,1.0,3,1,0.4442882266814697,1.0,3,1.0,-0.44182666922664793
58,415,Do you already have 72?,"Yep.  All right.  So, what I’d like you to do is if you don’t have enough cubes you might have to take apart the buildings you have to make Number 9 and Number 10.",1.0,3,1,0.458336797070268,1.0,3,1,0.4531679788021286,1.0,3,1.0,-0.3823134730589219
58,617,I first got 32 and then I got 48.,And how did you find that?,1.0,3,1,0.5028801792144225,1.0,3,1,0.5023259965837884,1.6666666666666667,2,2.0,0.4654264220272977
60,81,36 – 36 chocolate chips – cookies.  Me and four friends want to split them into five ways.  How many pieces will each friend get?,"Excellent, excellent.  I like it.  Okay, now what I want you to be thinking of is how you’re gonna divide this.  I want to see ways that you’re gonna divide this.  So take out a paper.  I will ask Student K to pass out some paper over there, some blank paper, everyone.  [That stack] over there and you’ll give them to me.  Actually, Student K, here.  Go on that side and this side and I’ll go over here.  Is there anyone that doesn’t understand the problem that is on the board?  Is there anyone that does not under – you don’t understand the problem? You don’t know how to divide?  Okay, that’s fine, but do you understand you have 36 flowers, it could be 36 balloons, it could be 36 pieces of candy, and you have – you have five friends and everybody wants some and you have to split it up evenly.  Okay, so I want to see how you work this problem out.  Remember how we solve things with our multiplication, okay?  I want to see how you’re gonna solve this.",1.0,3,1,0.43363168636994187,1.0,3,1,0.4366102093333344,1.3333333333333333,2,1.0,-0.03642711683233898
60,164,What do you mean by explain your reasoning?  Don’t you mean explain why?,"All right, explain why you came up with the answer you did, yes.  But reasoning also means the why, okay?  That’s another term you could use for that.  Now, could you take out your math student activity books and open them to page 21 and 22.",1.0,3,1,0.4323618551788531,1.0,3,1,0.3962294153686954,1.6666666666666667,2,2.0,0.7005434916196149
60,339,How do they get the other van?,"Maybe they have to find a van.  So eight goes into – oh, you’ve got five, remainder four.  So now we went over here – so how many vans do we need?  Five, because we know that eight people are going into each van, and we know we’ve got four little leftovers.  We can either add another van, we can make them walk.",0.6666666666666666,2,1,-0.4426888002774987,1.0,3,1,0.4122945051676914,2.0,2,2.0,0.9108459136397604
64,168,Two out of five are wearing sweatpants.,Two out of five are wearing sweatpants.  That’s close.,1.0,3,1,0.4565931838004253,1.0,3,1,0.4261009968107443,1.3333333333333333,2,1.0,-0.07903199847099023
65,82,"I can put A, B, and C, or A, B, and C.",Whatever you want to do.,1.0,3,1,0.4791180007844873,1.0,3,1,0.4551846796444317,1.0,3,1.0,-0.5604597394057452
66,135,One-half.  I’ll have two-thirds.,"Student L, can you sit up, please?  Student L, can you sit up? Okay, one-half.  Now show me two-thirds.",1.0,3,1,0.4886678623900367,1.0,3,1,0.4965739336154562,1.6666666666666667,2,2.0,0.582349201358508
67,27,Because these aren’t the same.,It’s the same thing from a different—,1.0,3,1,0.4773831411883414,1.0,3,1,0.4708796804237198,1.0,3,1.0,-0.5044953041244081
69,11,I think she used the landmark number.,And what was her landmark number?,1.0,3,1,0.4593063468014218,1.0,3,1,0.43715761468704417,1.3333333333333333,2,1.0,0.04650764956913365
69,275,You go down the other way.,"So you’re driving – you’re heading this way.  What do you more likely do – go backwards, or go in the direction you’re moving?",1.0,3,1,0.4877269693036298,1.0,3,1,0.4695277049065096,2.0,3,2.0,1.1479089889354173
74,256,From the 400 and—from the 427.,"So in the 427, he still has another 100 he’s thinking in there. Okay.",1.0,3,1,0.4119095440080009,1.0,3,1,0.3924532794885936,1.6666666666666667,2,2.0,0.5731814349233533
77,75,Yeah.  Four is half of eight.,"Four is half of eight, so is Student T right?",1.0,3,1,0.4570289827354352,1.0,3,1,0.43793458409438596,1.6666666666666667,2,2.0,0.5628961759466976
77,227,Because there’s six cubes for one fourth because—,"Good point, six oranges.",1.0,3,1,0.5104118541774166,1.0,3,1,0.4854631414741146,1.0,1,,-0.5803282597713559
78,106,It takes a long time.,Just go ahead and color it in.  You’re fine.  It doesn’t have to be exact.,1.0,3,1,0.4542203524492208,1.0,3,1,0.4294519965827502,0.6666666666666666,2,1.0,-0.7743733209591901
78,420,I was going to draw in my notebook.,Don’t draw.  Read.  Do reading.,0.0,3,0,-2.2623077643860525,0.0,3,0,-2.3691609705777137,,1,,
79,9,Do we have write numbers?,"Not yet.  I’ll tell you everything you need to write.  Which everyone’s paper should say – notebooks should say How Many Miles to 1,000?  Now – quickly Student G.  We are gonna pretend that we are taking a special road trip.  We’re going somewhere across the United States.  And on the trip we are travelling exactly 1,000 miles.  You’re keeping track of the miles.  And after a couple of days of travelling, we’re gonna say that we’ve gone 632 miles.  So Student D, actually you can write this down.  Number of miles so far is 632.  Or I’m sorry, 632.  We’re still working on not saying the ""and"".",0.6666666666666666,2,1,-0.3571885532672125,0.6666666666666666,2,1,-0.38619116173183055,1.5,1,,0.07784868672960342
79,140,I put 632 on the front.,"632 over here on the left side.  Student D, this is what you did also?",1.0,3,1,0.4544647854950907,1.0,3,1,0.4390356482357583,1.3333333333333333,2,1.0,0.12250780328866995
80,143,I could try dividing it by fourths.,All right.  She might divide – when she’s looking at the one and going to the two she could divide it in to fourths. What would you do to divide in to fourths?  What would be your first step probably?  What did I do between the zero and the one?,1.0,3,1,0.4552802108721039,1.0,3,1,0.4280734475566568,2.0,3,2.0,0.9380021180830154
80,165,"It’s more than a half.  It’s one and 80 – it’s one and eight tenths, and it’s bigger than one and twenty-five hundredths.",And it’s bigger than one and five?,1.0,3,1,0.40146864554299017,1.0,3,1,0.3820563110482525,1.3333333333333333,2,1.0,0.1086421371595984
83,19,That’s the centimeter.  This is the centimeter.  It’s the same size as this.,Yeah.,1.0,3,1,0.366148656220743,1.0,3,1,0.34269368208818224,0.6666666666666666,2,1.0,-0.8304841714874495
87,123,Can we do it like that?,Mm-hmm.  Very good.  Good job.  Nice and clean work.  Okay.  So go on to part b.  Now let’s read part B again.  What fraction of all the animals counted in this group are camels?  So what portion are you going to be looking at?,1.0,3,1,0.4339281091680933,1.0,3,1,0.41252761443656616,1.3333333333333333,2,1.0,-0.08128460101764351
87,192,You minus 14 from 21.,Thank you very much.  Would you like to come and put it here? So the rest.  That’s what it said.,1.0,3,1,0.4261020505909319,1.0,3,1,0.39584328826349896,1.0,3,1.0,-0.35395681300853443
90,50,People more like Macs than PCs.,What do they have kind of in the middle?,0.6666666666666666,2,1,-0.3490671666601615,0.6666666666666666,2,1,-0.4176949530960747,0.0,2,0.0,-1.7320988195082476
90,860,Your foot is in the way.,So how far?  How far would it be?,0.3333333333333333,2,0,-1.334315336793901,0.6666666666666666,2,1,-0.4028396776631247,1.0,1,,-0.1604625936776582
97,49,It’s like how it is tall?,Yes.  How tall something is from the floor up or from the ground up.  How tall something is.  Okay?  What’s the next one?  Class?,1.0,3,1,0.4490615088374312,1.0,3,1,0.44296385192041815,1.6666666666666667,2,2.0,0.4593710001312667
100,22,Oh.  And you divide it by five?,"Yes. Can I see your answers?  Where did you get nine from?  When they say do at this, is nine even on here?",1.0,3,1,0.47951153949367603,1.0,3,1,0.4579450289987058,1.3333333333333333,2,1.0,-0.20817134862324446
100,197,The three is not in there.,"The three is not in here.  So, Student R makes a good point. How can three be our answer if three’s not in here? Student T?",1.0,3,1,0.4990081676392453,1.0,3,1,0.4881936660174182,2.0,3,2.0,0.9702476983748896
100,240,I forgot what this was called.,"Everybody’s working on this one, right, because this is the one that’s written down.  So, everybody wrote down cone.",1.0,3,1,0.5011365659445798,1.0,3,1,0.4752590145924042,0.6666666666666666,2,0.0,-1.2284591896235046
101,107,"Again, it says the length times width is 2 and then all length times width plus height is 3-D.","Exactly.  That’s a very, very, very, very important element. You need to know that, okay?  Three dimensional; two dimensional.  This has length, width and height.  This only has length and width.  It has no height.  So, the volume –",1.0,3,1,0.5123258198610571,1.0,3,1,0.5035272981488047,2.0,3,2.0,1.009569213780917
109,213,I’ve got the answer.,Four thousand what?,1.0,3,1,0.5141935570608646,1.0,3,1,0.4849636569514938,1.3333333333333333,2,1.0,-0.008804529574728845
110,184,"Zero.  I mean, 6 and 5.","This is your hundreds column, this is your tens column, and that’s your ones column.  So 6 and 5 is how much, Student N?  Is 12?",1.0,3,1,0.5265381366854428,1.0,3,1,0.5092793611171368,2.0,3,2.0,0.8806662400704788
110,241,You can use the 20.,"You can use the 20.  So what would 20 get you to?  If you added 10, what would that be?  Eight hundred and six.  So let’s break it up.  You say 10 is 806.  What’s 10 more?",1.0,3,1,0.4125054108327357,1.0,3,1,0.39113862050615295,2.0,3,2.0,0.9692275189802636
112,88,"For the 10 and 90 I had 100, so I had to put the 100s in the 100s place, and the only number that was left was the 20, so I had to put the 20 in the tens place.  And then I added the numbers 100, 100 and 600, and I got 800.  So I added them all together and I got 800.","Let’s make that an 8 clearly.  It looks like a 6.  Did anyone do it this way? If you did not do it this way, take this down as a note.  If you didn’t do it the other way, breaking one number down by place value, add that as a note.  What I’d like you to do is name it.  We call this the U.S. Algorithm.  We’re going to learn that in our next class.",1.0,3,1,0.5010410986593617,1.0,3,1,0.4778330449570682,1.3333333333333333,2,2.0,-0.008834810215625414
112,108,I already solved the problem.,"I didn’t see your hand up.  If you did not solve it the way number one, number two, or number three did, you’re taking notes.  Can I see? I didn’t see it.  I don’t see breaking up by place value.  Excellent.  It’s okay, she’s almost done.  Thank you, Student L.  Anyone else? If you did not break up both numbers by place value, please write this down.  If you did do it this way and didn’t do it this way, you’re writing this one down.  If you did it this way but you didn’t do it this way, you’re writing this number down. This is using a landmark number too.  I’m going to write that down.  Breaking one number apart, one number down by place value, and using a landmark number.  Okay, because this was very important what she did.  You can do that. That is okay.  Say she felt more comfortable with 250? She could take 250 off of there and put it here.  Or actually she’d be taking 54 and she’d be moving it onto here to make this 250.  Okay? Whatever you feel comfortable with as a landmark number, it’s usually by its tens and hundreds or ones, it’s usually tens and hundreds.  Okay? So if you solved it wrong you should be writing all these notes down.",1.0,3,1,0.4688966608717549,1.0,3,1,0.4351401695074296,1.0,1,,-0.6367949059551486
112,118,"But I add all the 700, 100, 10 and 11.",You added it as you went along?,1.0,3,1,0.5151344501472714,1.0,3,1,0.5120098856604405,1.3333333333333333,2,1.0,-0.0010804178923364829
113,1,"I think to see how you, how something is doing.",To see how something is doing.  Like what?,1.0,3,1,0.4377767876357359,1.0,3,1,0.4172695987286817,2.0,3,2.0,0.9680538753750728
120,181,A whole and a half.,So if you have 36 plus one plus a half.,1.0,3,1,0.47951153949367603,1.0,3,1,0.4579450289987058,2.0,3,2.0,0.7880783212836485
131,147,What does it start with?,Student S?,1.0,3,1,0.3996552730751519,1.0,3,1,0.3827693904119416,0.0,3,0.0,-1.9044115887122792
131,175,"The pyramid.  All the side faces of the pyramid comes up to a point at the top of the, um, face.","Okay, excellent job.  What about a prism.  How is that different from a prism?  Student F?  Wait, there’s a couple people making some extra noises.",1.0,3,1,0.4359634151678977,1.0,3,1,0.4179826780923708,1.3333333333333333,2,1.0,-0.20095522578799946
131,187,You said a pyramid has… Is this the question you just asked?,"I asked somebody to repeat what Student and Student M said, and also what I said about a pyramid.",1.0,3,1,0.4034369759585999,1.0,3,1,0.3822699058893208,1.6666666666666667,2,2.0,0.6204690274052767
136,158,5 times 8 times 3—,Not 3.  4.,1.0,3,1,0.4096967805465212,1.0,3,1,0.3826560329945172,1.0,3,1.0,-0.3845305492704856
141,35,My dad.  Oh wait.  I didn’t talk to him.,You left a message?,0.0,3,0,-2.1795789763636386,0.0,3,0,-2.221639547052398,,1,,
141,131,How many miles did they drive all together?,"How many miles did they drive all together?  So what does that tell you, looking at the map?  What do you have to do, Student J?  Look at your answer.  What do you have to do?",1.0,3,1,0.4135454590141638,1.0,3,1,0.3873980172866327,2.0,3,2.0,1.1179776721744397
144,36,We have homework?  I got homework the last –,"Shh.  Okay, guys, I know this is – listen.  Listen.",0.0,3,0,-2.4455013660609795,0.0,3,0,-2.6422477647602234,,1,,
144,50,"Teacher, you know what’s funny?",What?,0.0,3,0,-2.268759723756229,0.0,3,0,-2.350224303177812,,1,,
144,223,I’m not doing anything.,You know what?  You are.,0.0,3,0,-2.0222463207556776,0.0,3,0,-2.0859609167918043,,1,,
144,311,I want to make something.,I’m gonna wait till everyone is sitting though and ready. You need to sit down.  Okay.,0.3333333333333333,2,0,-1.1251571599528791,0.3333333333333333,2,0,-1.2289051889913498,1.0,1,,-0.2237776263178164
147,313,Five eighths is equal to 62 and a half.,"Good.  You just made it.  Boys, do you have any cards left to play?",1.0,3,1,0.4763232827654584,1.0,3,1,0.4722582294498132,1.0,3,1.0,-0.2839024275390398
147,341,"Four fifths – no, 80 percent.",How come you can’t put it there?,1.0,3,1,0.5066618820978704,1.0,3,1,0.5018265120611676,1.3333333333333333,2,1.0,0.07270799853766306
150,163,This is a hexagon.  This is an octagon.,"Yes, hexagon is how many sides?",1.0,3,1,0.4819947545412884,1.0,3,1,0.460121343335477,1.6666666666666667,2,2.0,0.528297833801428
156,187,Can we use—can we use—,"If you want to use the blue instead, that’s fine as long as you have the tenths and the hundredths.  Then put the lid on, put it back in the floor.  You just need those.  Did I ask you to have the whole one out?  Do you need the whole one out?  All you need is the tenths and the hundredths.  I’m going to show you how to multiply decimals two ways.  I’m going to show you how to use a model using your blocks, using your base ten blocks.  And I’m going to show you how to do it using multiplication the way we’ve always done. Here’s what I want you to represent on your desks with your pieces. Show me what—show me what 13 hundredths looks like using as few pieces as you can.  Show me 13 hundredths.  You know what, let me scratch that.  I want to change it.  Let’s start easier than that.  Show me three hundredths.  Show me three hundredths.  Sounds like maybe an airplane.  Do you have three hundredths?",1.0,3,1,0.4333571129972294,1.0,3,1,0.40542508224402013,1.6666666666666667,2,2.0,0.4843267089438574
157,256,Mine doesn’t have the decimal sign.,"Did you multiply six point five times six point five?  Okay? So what do you think about that then?  Remember we’re trying to find 40.  We’re trying to find which two numbers we can multiply.  So that’s a little bit more than 40, what else could we try?",1.0,3,1,0.42331323054617226,1.0,3,1,0.38972275494529,0.6666666666666666,2,1.0,-0.9655037033015283
157,310,Forty-three point fifty-six.,Good.  Six point seven?,1.0,3,1,0.4953771608961752,1.0,3,1,0.4761322588694312,0.6666666666666666,2,1.0,-1.112928915179503
159,96,Carrie and Sue’s house 4600 times ten equals 9200.,"If you were going to estimate 46/100, what would you round that to?",1.0,3,1,0.4621383101951708,1.0,3,1,0.4550305484729346,1.0,1,,-0.5005110932118586
159,170,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay.  Does this give you times two or would it be half of that- -Susan Jones’ house, 87/100 times two.",1.0,3,1,0.4707100333395931,1.0,3,1,0.4344270901437405,1.6666666666666667,2,2.0,0.44486301309400783
165,119,Maybe put ’em in groups about how popular they are.,"About the popularity of that candy.  Okay, what else can we look at?   What else can we think about, to think outside the box?  Come out your box.  Okay, we know about the colors.  We know about the flavors.  We know that we’re gonna sit and count them and group them, but say we were doing – first of all, what could we take to find out about Skittles?",1.0,3,1,0.3815784786882322,1.0,3,1,0.34904732467526595,1.3333333333333333,2,1.0,0.08973634019135475
168,105,"11:25.  Hold up, hold up.",If you start at your –,0.3333333333333333,2,0,-1.2149128554755226,0.3333333333333333,2,0,-1.227367745789165,0.0,1,,-2.356082928427088
169,170,So we do this one ourselves and then we write problems for our partners?,"This one is not for yourself; right now you are working together with somebody else. You write the problem completely formed the way it is, usually letters –",1.0,3,1,0.4829900123596646,1.0,3,1,0.4693170102108019,2.0,3,2.0,0.9041987470768968
170,171,Where do I do my work?,"On there.  Yes, around there.  Your answer goes inside your shape.  When you’re showing your work, that’s what’s going around.",1.0,3,1,0.458336797070268,1.0,3,1,0.4531679788021286,1.6666666666666667,2,2.0,0.6931955173302455
170,197,I saw him go put them back for you.,They weren’t mine.  How did they get on my desk?  You guys are working quietly at your desk.  Group one is working quietly.  So is group two.  You just start.  We’re waiting on these last two groups who are working it out.  It sure is review.  It should be easy.,0.0,3,0,-2.015861267807174,0.0,3,0,-2.113969044025168,,1,,
173,69,Radius is a line that can be drawn across a circle.,Where do you start?,1.0,3,1,0.4355814137462068,1.0,3,1,0.42496278133895937,1.3333333333333333,2,1.0,0.2670074046093279
176,9,I need a wipe.  I need a wipe.,"Sh.  Student I will collect it and then, Student A, she’ll get the markers.  No, you’re going to get the wipes and then, Student O, get the markers.  Here, I got a spare one.  Do not gratuitously talk.  Come on, quickly.  Let’s not get silly, y’all.",0.0,3,0,-2.6367230766407594,0.0,3,0,-2.7298949257949565,,1,,
179,223,"Like this one to this one, that will be like the diameter because –",That would be a diameter.,1.0,3,1,0.4490615088374311,1.0,3,1,0.44296385192041815,1.6666666666666667,2,2.0,0.4593710001312667
179,225,– it says like it’s a segment that goes through the center to another edge?,Mm-hmm.,1.0,3,1,0.4819947545412884,1.0,3,1,0.460121343335477,1.0,3,1.0,-0.4457972030287338
